James B. Longacre	Question: question: What was Longacre the fourth Chief Engraver of?	Ref: Mint	Pred: United States Mint	Context: James Barton Longacre (August 11, 1794 – January 1, 1869) was an American portraitist and engraver, and the fourth Chief Engraver of the United States Mint from 1844 until his death. Longacre is best known for designing the Indian Head cent, which entered commerce in 1859, and for the designs of the Shield nickel, Flying Eagle cent and other coins of the mid-19th century.Longacre was born in Delaware County, Pennsylvania, in 1794. He ran away to Philadelphia at age 12, where he became an apprentice in a bookstore. His artistic talent developed and he was released to apprentice in an engraving firm. He struck out on his own in 1819, making a name providing illustrations for popular biographical books. He portrayed the leading men of his day; support from some of them, such as South Carolina Senator John C. Calhoun, led to his appointment as chief engraver after the death of Christian Gobrecht in 1844.In Longacre's first years as a chief engraver, the Philadelphia Mint was dominated by Mint Director Robert M. Patterson and Chief Coiner Franklin Peale. Conflict between Longacre and the two men developed after Congress ordered a new gold dollar and double eagle, with both to be designed by Longacre. Peale and Patterson nearly had Longacre fired, but the chief engraver was able to convince Treasury Secretary William M. Meredith that he should be retained.  Both Patterson and Peale left the Mint in the early 1850s, ending the conflict.In 1856, Longacre designed the Flying Eagle cent. When that design proved difficult to strike, Longacre was responsible for the replacement, the Indian Head cent, issued beginning in 1859. Other coins designed by Longacre include the silver and nickel three-cent pieces, the Shield nickel, the pattern Washington nickel, and the two-cent piece. In 1866–1867, he redesigned the coins of Chile. Longacre died suddenly on New Year's Day 1869; he was succeeded by William Barber. Longacre's coins are generally well-regarded today, although they have been criticized for lack of artistic advancement.
Christian Gobrecht	Question: question: What coin was inspired by the Gobrecht Dollar?	Ref: Eagle	Pred: Flying Eagle cent	Context: Christian Gobrecht (December 23, 1785 – July 23, 1844) was the third Chief Engraver of the United States Mint from 1840 until his death in 1844. He was responsible for designing the famous "Seated Liberty" designs, which were in turn the direct inspiration for the design of the Trade Dollar. He designed the Gobrecht Dollar, which was struck in small quantities from 1836 to 1838 and later inspired the Flying Eagle cent. He also designed the obverse sides for the Liberty head (aka Coronet Head) Quarter Eagle, Half Eagle, and Eagle gold coins, as well as the "braided hair" type Half cent and Large cent coins.
Bela Pratt	Question: question: Who was the father of the first music school in the country?	Ref: Pratt	Pred: Oramel Whittlesey	Context: Bela Lyon Pratt (December 11, 1867 – May 18, 1917) was an American sculptor from Connecticut. Pratt was born in Norwich, Connecticut, to Sarah (Whittlesey) and George Pratt, a Yale-educated lawyer. His maternal grandfather, Oramel Whittlesey, was a pianoforte maker and founder in 1835 of Music Vale Seminary in Salem, Connecticut, the first music school in the country authorized to confer degrees to teach music. At 16, Pratt began studying at the Yale University School of Fine Arts, where his teachers included John Henry Niemeyer (1839–1932) and John Ferguson Weir (1841–1926).After graduating from Yale, he enrolled at the Art Students League of New York where he took classes from William Merritt Chase (1849–1916), Kenyon Cox (1859–1919), Francis Edwin Elwell (1858–1922), and most important, Augustus Saint-Gaudens (1848–1907), who became his mentor. After a short stint in Saint-Gaudens' private studio, Pratt traveled to Paris, where he trained with sculptors Henri-Michel-Antoine Chapu (1833–1891) and Alexandre Falguière (1831–1900) at the École des Beaux-Arts.In 1892, he returned to the United States to create two large sculptural groups representing The Genius of Navigation for the World's Columbian Exposition in Chicago. He also produced sculptures for the Pan-American Exposition at Buffalo in 1901.  In 1893, he began a 25-year career as an influential teacher of modeling in the School of the Museum of Fine Arts, Boston. One of Pratt's most famous students at the School was John A. Wilson. During this time, Pratt sculpted a series of busts of Boston's intellectual community, including Episcopal minister Phillips Brooks (1899, Brooks House, Harvard University), Colonel Henry Lee (1902, Memorial Hall, Harvard University), and Boston Symphony Orchestra founder Henry Lee Higginson (1909, Symphony Hall, Boston).  He became an associate of the National Academy in 1900.  (1)When Saint-Gaudens' uncompleted group for the entrance to the Boston Public Library was rejected, Pratt was awarded a commission for personifications of Art and Science. Pratt continued Saint-Gaudens' influence in coin design after 1907. His gold Indian Head half ($5) and quarter ($2.50) eagle gold U.S. coins are known as the "Pratt coins" and feature an unusual intaglio Indian head, the U.S. mint's only recessed design in circulation. A memorial exhibition of 125 of his sculptures was held at the Museum of Fine Arts, Boston in the spring of 1918.Pratt's students included Frederick Warren Allen, Daisy Blanche King., Bashka Paeff, and Richard Henry Recchia, as well as his son Dudley Pratt.
Tiffany & Co.	Question: question: In what country does Tiffany have 326 stores?	Ref: Canada	Pred: United States, Japan, Canada	Context: Tiffany & Co. (colloquially known as Tiffany's) is a luxury jewelry and specialty design house, headquartered on Fifth Avenue in Manhattan. It sells jewelry, sterling silver, porcelain, crystal, stationery, fragrances, water bottles, watches, personal accessories, and leather goods. Tiffany is known for its luxury goods, particularly its diamond and sterling silver jewelry. These goods are sold at Tiffany stores, online, and corporate merchandising. Its name and branding are licensed to Coty for fragrances and to Luxottica for eyewear.Tiffany & Co. was founded in 1837 by the jeweler Charles Lewis Tiffany and became famous in the early 20th century under the artistic direction of his son Louis Comfort Tiffany. In 2018, net sales totaled US$4.44 billion. In 2019, Tiffany operated 326 stores globally in countries such as the United States, Japan, and Canada, as well as Europe, the Latin America and Pacific Asia regions.On January 7, 2021, French multinational LVMH Moët Hennessy Louis Vuitton acquired majority stake in Tiffany & Co for $15.8 billion and delisted Tiffany’s stock from the New York Stock Exchange.
New England Glass Company	Question: question: Where was Libbey Glass Company originally founded?	Ref: Cambridge	Pred: Cambridge, Massachusetts	Context: Libbey, Inc., (formerly Libbey Glass Company and New England Glass Company) is a glass production company headquartered in Toledo, Ohio. It was originally founded 204 years ago in Cambridge, Massachusetts as the New England Glass Company in 1818, before relocating to Ohio in 1888 and renaming to Libbey Glass Co. After it was purchased in 1935, it operated as part of the Libbey-Owens-Ford company and as a division of the Owens-Illinois glass company until 1993, when it was separated back into an independent company.The company manufactures a number of glassware products, primarily tableware, drinkware and stemware. Historically, it was also involved in producing other types of glass products, such as automotive glass, glass drinking bottles, and light bulbs.
Paul Revere	Question: question: What war was Paul Revere credited with leading?	Ref: American Revolutionary War	Pred: American Revolutionary War	Context: Paul Revere (; December 21, 1734 O.S. (January 1, 1735 N.S.) – May 10, 1818) was an American silversmith, engraver, early industrialist, Sons of Liberty member, and Patriot and Founding Father. He is best known for his midnight ride to alert the colonial militia in April 1775 to the approach of British forces before the battles of Lexington and Concord, as dramatized in Henry Wadsworth Longfellow's 1861 poem, "Paul Revere's Ride".At age 41, Revere was a prosperous, established and prominent Boston silversmith. He had helped organize an intelligence and alarm system to keep watch on the British military. Revere later served as a Massachusetts militia officer, though his service ended after the Penobscot Expedition, one of the most disastrous campaigns of the American Revolutionary War, for which he was absolved of blame.Following the war, Revere returned to his silversmith trade. He used the profits from his expanding business to finance his work in iron casting, bronze bell and cannon casting, and the forging of copper bolts and spikes. In 1800, he became the first American to successfully roll copper into sheets for use as sheathing on naval vessels.
Stanford White	Question: question: What firm was Stanford White a partner in?	Ref: McKim	Pred: McKim, Mead & White	Context: Stanford White (November 9, 1853 – June 25, 1906) was an American architect. He was also a partner in the architectural firm McKim, Mead & White, one of the most significant Beaux-Arts firms. He designed many houses for the rich, in addition to numerous civic, institutional, and religious buildings. His temporary Washington Square Arch was so popular that he was commissioned to design a permanent one. His design principles embodied the "American Renaissance".In 1906, White was shot and killed at the Madison Square Theatre by Harry Kendall Thaw, in front of a large audience during a musical theatre performance. Thaw was a wealthy but mentally unstable heir of a coal and railroad fortune who had become obsessed by White's alleged drugging, rape and subsequent relationship with his wife Evelyn Nesbit, which started when she was 16, four years before their marriage. She had married Thaw in 1905 and was a famous fashion model who was performing as an actress in the show. With the elements of a sex scandal among the wealthy and the public killing, the resulting sensational trial of Thaw was dubbed "The Trial of the Century" by contemporary reporters. Thaw was ultimately found not guilty by reason of insanity.
Louis Comfort Tiffany	Question: question: What was the name of Louis Comfort Tiffany's family company?	Ref: Tiffany	Pred: Tiffany & Co.	Context: Louis Comfort Tiffany (February 18, 1848 – January 17, 1933) was an American artist and designer who worked in the decorative arts and is best known for his work in stained glass. He is the American artist most associated with the Art Nouveau and Aesthetic movements. He was affiliated with a prestigious collaborative of designers known as the Associated Artists, which included Lockwood de Forest, Candace Wheeler, and Samuel Colman. Tiffany designed stained glass windows and lamps, glass mosaics, blown glass, ceramics, jewellery, enamels, and metalwork. He was the first design director at his family company, Tiffany & Co., founded by his father Charles Lewis Tiffany.
Shakers	Question: question: Where were the Shakers founded?	Ref: England	Pred: England	Context: The United Society of Believers in Christ's Second Appearing, more commonly known as the Shakers, are a millenarian restorationist Christian sect founded c. 1747 in England and then organized in the United States in the 1780s. They were initially known as "Shaking Quakers" because of their ecstatic behavior during worship services. Espousing egalitarian ideals, women took on spiritual leadership roles alongside men, including founding leaders such as Jane Wardley, Ann Lee, and Lucy Wright. The Shakers emigrated from England and settled in Revolutionary colonial America, with an initial settlement at Watervliet, New York (present-day Colonie), in 1774. They practice a celibate and communal utopian lifestyle, pacifism, uniform charismatic worship, and their model of equality of the sexes, which they institutionalized in their society in the 1780s. They are also known for their simple living, architecture, technological innovation, music, and furniture.During the mid-19th century, an Era of Manifestations resulted in a period of dances, gift drawings, and gift songs inspired by spiritual revelations. At its peak in the mid-19th century, there were 2,000–4,000 Shaker believers living in 18 major communities and numerous smaller, often short-lived communities. External and internal societal changes in the mid- and late-19th century resulted in the thinning of the Shaker community as members left or died with few converts to the faith to replace them. By 1920, there were only 12 Shaker communities remaining in the United States. As of 2019, there is only one active Shaker village: Sabbathday Lake Shaker Village, in Maine. Consequently, many of the other Shaker settlements are now museums.
John Singer Sargent	Question: question: Where was John Singer Sargent born?	Ref: Florence	Pred: Florenci	Context: John Singer Sargent (; January 12, 1856 – April 14, 1925) was an American expatriate artist, considered the "leading portrait painter of his generation" for his evocations of Edwardian-era luxury. He created roughly 900 oil paintings and more than 2,000 watercolors, as well as countless sketches and charcoal drawings. His oeuvre documents worldwide travel, from Venice to the Tyrol, Corfu, Spain, the Middle East, Montana, Maine, and Florida.Born in Florence to American parents, he was trained in Paris before moving to London, living most of his life in Europe. He enjoyed international acclaim as a portrait painter. An early submission to the Paris Salon in the 1880s, his Portrait of Madame X, was intended to consolidate his position as a society painter in Paris, but instead resulted in scandal. During the next year following the scandal, Sargent departed for England where he continued a successful career as a portrait artist.From the beginning, Sargent's work is characterized by remarkable technical facility, particularly in his ability to draw with a brush, which in later years inspired admiration as well as criticism for a supposed superficiality. His commissioned works were consistent with the grand manner of portraiture, while his informal studies and landscape paintings displayed a familiarity with Impressionism. In later life Sargent expressed ambivalence about the restrictions of formal portrait work, and devoted much of his energy to mural painting and working en plein air. Art historians generally ignored society artists such as Sargent until the late 20th century.The exhibition in the 1980s of Sargent's previously hidden male nudes served to spark a re-evaluation of his life and work, and its psychological complexity. In addition to the beauty, sensation, and innovation of his oeuvre, his same-sex interests, unconventional friendships with women, and engagement with race, gender-nonconformity and emerging globalism, are now viewed as socially and aesthetically progressive, and radical.
